"","n","interim_fraction","MonitoringType","FutilityPValue","Proportion","AlternativeRejectionRate0.8","NullRejectionRate0.05","TypeIIError","LevelOfSignificance"
"1",40,0.5,"FO",0.587238814856593,0.9,0.813,0.261,0.187,0.739
"2",40,0.5,"FE",0.578364124002847,0.9,0.813,0.261,0.187,0.739
"3",40,0.75,"FO",0.193265864371953,0.7,0.836,0.137,0.164,0.863
"4",40,0.75,"FE",0.186275384393549,0.7,0.807,0.123,0.193,0.877
"5",160,0.5,"FO",0.587238814856593,0.85,0.845,0.299,0.155,0.701
"6",160,0.5,"FE",0.578364124002847,0.85,0.845,0.299,0.155,0.701
"7",160,0.75,"FO",0.193265864371953,0.75,0.801,0.134,0.199,0.866
"8",160,0.75,"FE",0.186275384393549,0.75,0.8,0.128,0.2,0.872
"9",600,0.5,"FO",0.587238814856593,0.9,0.808,0.273,0.192,0.727
"10",600,0.5,"FE",0.578364124002847,0.9,0.808,0.273,0.192,0.727
"11",600,0.75,"FO",0.193265864371953,0.8,0.802,0.109,0.198,0.891
"12",600,0.75,"FE",0.186275384393549,0.75,0.802,0.127,0.198,0.873
"13",2000,0.5,"FO",0.587238814856593,0.9,0.835,0.289,0.165,0.711
"14",2000,0.5,"FE",0.578364124002847,0.9,0.831,0.28,0.169,0.72
"15",2000,0.75,"FO",0.193265864371953,0.85,0.818,0.088,0.182,0.912
"16",2000,0.75,"FE",0.186275384393549,0.85,0.806,0.085,0.194,0.915
